year,periodName,value,month_year,state_code
2019,December,2190412.0,2019-12,01
2019,November,2194914.0,2019-11,01
2019,October,2195676.0,2019-10,01
2019,September,2180225.0,2019-09,01
2019,August,2169211.0,2019-08,01
2019,July,2175558.0,2019-07,01
2019,June,2172460.0,2019-06,01
2019,May,2176975.0,2019-05,01
2019,April,2177000.0,2019-04,01
2019,March,2168869.0,2019-03,01
2019,February,2157859.0,2019-02,01
2019,January,2134636.0,2019-01,01
2018,December,2153634.0,2018-12,01
2018,November,2159837.0,2018-11,01
2018,October,2153796.0,2018-10,01
2018,September,2132414.0,2018-09,01
2018,August,2118755.0,2018-08,01
2018,July,2136474.0,2018-07,01
2018,June,2132456.0,2018-06,01
2018,May,2134675.0,2018-05,01
2018,April,2133437.0,2018-04,01
2018,March,2122542.0,2018-03,01
2018,February,2109670.0,2018-02,01
2018,January,2082454.0,2018-01,01
2017,December,2102222.0,2017-12,01
2017,November,2108687.0,2017-11,01
2017,October,2108590.0,2017-10,01
2017,September,2104297.0,2017-09,01
2017,August,2083390.0,2017-08,01
2017,July,2090541.0,2017-07,01
2017,June,2090538.0,2017-06,01
2017,May,2093941.0,2017-05,01
2017,April,2098084.0,2017-04,01
2017,March,2087851.0,2017-03,01
2017,February,2068829.0,2017-02,01
2017,January,2047510.0,2017-01,01
2016,December,2063133.0,2016-12,01
2016,November,2071159.0,2016-11,01
2016,October,2069329.0,2016-10,01
2016,September,2058246.0,2016-09,01
2016,August,2048037.0,2016-08,01
2016,July,2054825.0,2016-07,01
2016,June,2055419.0,2016-06,01
2016,May,2062738.0,2016-05,01
2016,April,2063142.0,2016-04,01
2016,March,2053519.0,2016-03,01
2016,February,2041196.0,2016-02,01
2016,January,2022264.0,2016-01,01
2015,December,2038411.0,2015-12,01
2015,November,2039426.0,2015-11,01
2015,October,2038863.0,2015-10,01
2015,September,2021760.0,2015-09,01
2015,August,2019232.0,2015-08,01
2015,July,2027979.0,2015-07,01
2015,June,2034858.0,2015-06,01
2015,May,2045287.0,2015-05,01
2015,April,2044623.0,2015-04,01
2015,March,2028888.0,2015-03,01
2015,February,2017509.0,2015-02,01
2015,January,2003220.0,2015-01,01
2014,December,2019932.0,2014-12,01
2014,November,2028871.0,2014-11,01
2014,October,2032669.0,2014-10,01
2014,September,2010722.0,2014-09,01
2014,August,1999165.0,2014-08,01
2014,July,2008159.0,2014-07,01
2014,June,2018276.0,2014-06,01
2014,May,2022401.0,2014-05,01
2014,April,2024618.0,2014-04,01
2014,March,2016175.0,2014-03,01
2014,February,2000233.0,2014-02,01
2014,January,1990255.0,2014-01,01
2013,December,2012465.0,2013-12,01
2013,November,2019217.0,2013-11,01
2013,October,2010180.0,2013-10,01
2013,September,2014676.0,2013-09,01
2013,August,2007985.0,2013-08,01
2013,July,2017537.0,2013-07,01
2013,June,2024467.0,2013-06,01
2013,May,2034267.0,2013-05,01
2013,April,2034284.0,2013-04,01
2013,March,2020714.0,2013-03,01
2013,February,2009964.0,2013-02,01
2013,January,1998763.0,2013-01,01
2012,December,2016210.0,2012-12,01
2012,November,2023318.0,2012-11,01
2012,October,2025114.0,2012-10,01
2012,September,2007311.0,2012-09,01
2012,August,1991683.0,2012-08,01
2012,July,1998352.0,2012-07,01
2012,June,2005817.0,2012-06,01
2012,May,2008447.0,2012-05,01
2012,April,2007592.0,2012-04,01
2012,March,1999157.0,2012-03,01
2012,February,1982828.0,2012-02,01
2012,January,1973652.0,2012-01,01
2011,December,2004151.0,2011-12,01
2011,November,2008604.0,2011-11,01
2011,October,2005689.0,2011-10,01
2011,September,1993496.0,2011-09,01
2011,August,1983353.0,2011-08,01
2011,July,1984262.0,2011-07,01
2011,June,1986735.0,2011-06,01
2011,May,1994098.0,2011-05,01
2011,April,1996846.0,2011-04,01
2011,March,1987874.0,2011-03,01
2011,February,1972720.0,2011-02,01
2011,January,1967127.0,2011-01,01
2010,December,1996538.0,2010-12,01
2010,November,2001481.0,2010-11,01
2010,October,2001483.0,2010-10,01
2010,September,1990219.0,2010-09,01
2010,August,1988261.0,2010-08,01
2010,July,1990949.0,2010-07,01
2010,June,1994590.0,2010-06,01
2010,May,1994090.0,2010-05,01
2010,April,1976552.0,2010-04,01
2010,March,1892006.0,2010-03,01
2010,February,1876758.0,2010-02,01
2010,January,1871780.0,2010-01,01
2009,December,1894973.0,2009-12,01
2009,November,1910326.0,2009-11,01
2009,October,1906032.0,2009-10,01
2009,September,1900104.0,2009-09,01
2009,August,1909325.0,2009-08,01
2009,July,1922689.0,2009-07,01
2009,June,1929460.0,2009-06,01
2009,May,1936027.0,2009-05,01
2009,April,1947745.0,2009-04,01
2009,March,1941378.0,2009-03,01
2009,February,1943707.0,2009-02,01
2009,January,1955196.0,2009-01,01
2008,December,2008873.0,2008-12,01
2008,November,2030180.0,2008-11,01
2008,October,2047657.0,2008-10,01
2008,September,2042444.0,2008-09,01
2008,August,2045512.0,2008-08,01
2008,July,2060216.0,2008-07,01
2008,June,2066629.0,2008-06,01
2008,May,2068192.0,2008-05,01
2008,April,2076473.0,2008-04,01
2008,March,2069395.0,2008-03,01
2008,February,2060564.0,2008-02,01
2008,January,2065583.0,2008-01,01
2007,December,2096601.0,2007-12,01
2007,November,2107374.0,2007-11,01
2007,October,2099135.0,2007-10,01
2007,September,2086890.0,2007-09,01
2007,August,2078047.0,2007-08,01
2007,July,2087356.0,2007-07,01
2007,June,2091928.0,2007-06,01
2007,May,2086563.0,2007-05,01
2007,April,2086715.0,2007-04,01
2007,March,2094367.0,2007-03,01
2007,February,2078300.0,2007-02,01
2007,January,2076252.0,2007-01,01
2006,December,2107748.0,2006-12,01
2006,November,2105333.0,2006-11,01
2006,October,2103518.0,2006-10,01
2006,September,2081849.0,2006-09,01
2006,August,2079513.0,2006-08,01
2006,July,2080469.0,2006-07,01
2006,June,2083142.0,2006-06,01
2006,May,2075463.0,2006-05,01
2006,April,2074172.0,2006-04,01
2006,March,2068993.0,2006-03,01
2006,February,2053723.0,2006-02,01
2006,January,2048878.0,2006-01,01
2005,December,2079724.0,2005-12,01
2005,November,2078869.0,2005-11,01
2005,October,2078674.0,2005-10,01
2005,September,2057174.0,2005-09,01
2005,August,2053608.0,2005-08,01
2005,July,2052713.0,2005-07,01
2005,June,2048730.0,2005-06,01
2005,May,2048188.0,2005-05,01
2005,April,2045070.0,2005-04,01
2005,March,2028597.0,2005-03,01
2005,February,2014928.0,2005-02,01
2005,January,2011219.0,2005-01,01
2004,December,2041339.0,2004-12,01
2004,November,2043152.0,2004-11,01
2004,October,2035705.0,2004-10,01
2004,September,2015103.0,2004-09,01
2004,August,2015320.0,2004-08,01
2004,July,2019963.0,2004-07,01
2004,June,2013057.0,2004-06,01
2004,May,2009573.0,2004-05,01
2004,April,2009556.0,2004-04,01
2004,March,1999936.0,2004-03,01
2004,February,1990082.0,2004-02,01
2004,January,1985886.0,2004-01,01
2003,December,2012259.0,2003-12,01
2003,November,2014530.0,2003-11,01
2003,October,2009302.0,2003-10,01
2003,September,1988078.0,2003-09,01
2003,August,1983830.0,2003-08,01
2003,July,1985497.0,2003-07,01
2003,June,1989638.0,2003-06,01
2003,May,1989984.0,2003-05,01
2003,April,1995330.0,2003-04,01
2003,March,1989754.0,2003-03,01
2003,February,1980206.0,2003-02,01
2003,January,1974374.0,2003-01,01
2002,December,2001747.0,2002-12,01
2002,November,2003102.0,2002-11,01
2002,October,2006102.0,2002-10,01
2002,September,1990444.0,2002-09,01
2002,August,1977913.0,2002-08,01
2002,July,1976105.0,2002-07,01
2002,June,1975805.0,2002-06,01
2002,May,1978799.0,2002-05,01
2002,April,1977674.0,2002-04,01
2002,March,1974955.0,2002-03,01
2002,February,1966562.0,2002-02,01
2002,January,1953814.0,2002-01,01
2019,December,320804.0,2019-12,02
2019,November,322573.0,2019-11,02
2019,October,324904.0,2019-10,02
2019,September,329519.0,2019-09,02
2019,August,335054.0,2019-08,02
2019,July,338963.0,2019-07,02
2019,June,332930.0,2019-06,02
2019,May,327590.0,2019-05,02
2019,April,322011.0,2019-04,02
2019,March,321606.0,2019-03,02
2019,February,320946.0,2019-02,02
2019,January,320262.0,2019-01,02
2018,December,323677.0,2018-12,02
2018,November,326168.0,2018-11,02
2018,October,328924.0,2018-10,02
2018,September,331879.0,2018-09,02
2018,August,338011.0,2018-08,02
2018,July,341837.0,2018-07,02
2018,June,336569.0,2018-06,02
2018,May,331447.0,2018-05,02
2018,April,325366.0,2018-04,02
2018,March,325660.0,2018-03,02
2018,February,324928.0,2018-02,02
2018,January,324350.0,2018-01,02
2017,December,327869.0,2017-12,02
2017,November,330163.0,2017-11,02
2017,October,332949.0,2017-10,02
2017,September,336981.0,2017-09,02
2017,August,342866.0,2017-08,02
2017,July,346603.0,2017-07,02
2017,June,341626.0,2017-06,02
2017,May,336180.0,2017-05,02
2017,April,330204.0,2017-04,02
2017,March,330097.0,2017-03,02
2017,February,329337.0,2017-02,02
2017,January,328514.0,2017-01,02
2016,December,332073.0,2016-12,02
2016,November,333857.0,2016-11,02
2016,October,335929.0,2016-10,02
2016,September,339161.0,2016-09,02
2016,August,345487.0,2016-08,02
2016,July,349192.0,2016-07,02
2016,June,343154.0,2016-06,02
2016,May,338377.0,2016-05,02
2016,April,333013.0,2016-04,02
2016,March,331988.0,2016-03,02
2016,February,330812.0,2016-02,02
2016,January,330707.0,2016-01,02
2015,December,333918.0,2015-12,02
2015,November,335746.0,2015-11,02
2015,October,338346.0,2015-10,02
2015,September,342372.0,2015-09,02
2015,August,348418.0,2015-08,02
2015,July,352325.0,2015-07,02
2015,June,346349.0,2015-06,02
2015,May,341188.0,2015-05,02
2015,April,335083.0,2015-04,02
2015,March,334529.0,2015-03,02
2015,February,333624.0,2015-02,02
2015,January,333527.0,2015-01,02
2014,December,336086.0,2014-12,02
2014,November,337838.0,2014-11,02
2014,October,340154.0,2014-10,02
2014,September,343259.0,2014-09,02
2014,August,349237.0,2014-08,02
2014,July,352652.0,2014-07,02
2014,June,346915.0,2014-06,02
2014,May,341920.0,2014-05,02
2014,April,335533.0,2014-04,02
2014,March,334274.0,2014-03,02
2014,February,332944.0,2014-02,02
2014,January,332811.0,2014-01,02
2013,December,335874.0,2013-12,02
2013,November,337711.0,2013-11,02
2013,October,339341.0,2013-10,02
2013,September,343846.0,2013-09,02
2013,August,349454.0,2013-08,02
2013,July,352080.0,2013-07,02
2013,June,346184.0,2013-06,02
2013,May,340553.0,2013-05,02
2013,April,334641.0,2013-04,02
2013,March,333736.0,2013-03,02
2013,February,332587.0,2013-02,02
2013,January,331600.0,2013-01,02
2012,December,335716.0,2012-12,02
2012,November,337697.0,2012-11,02
2012,October,340765.0,2012-10,02
2012,September,342860.0,2012-09,02
2012,August,348035.0,2012-08,02
2012,July,351396.0,2012-07,02
2012,June,345914.0,2012-06,02
2012,May,340194.0,2012-05,02
2012,April,333850.0,2012-04,02
2012,March,333448.0,2012-03,02
2012,February,332212.0,2012-02,02
2012,January,331598.0,2012-01,02
2011,December,335281.0,2011-12,02
2011,November,337109.0,2011-11,02
2011,October,339254.0,2011-10,02
2011,September,343090.0,2011-09,02
2011,August,347831.0,2011-08,02
2011,July,350908.0,2011-07,02
2011,June,344507.0,2011-06,02
2011,May,338092.0,2011-05,02
2011,April,331879.0,2011-04,02
2011,March,331035.0,2011-03,02
2011,February,329668.0,2011-02,02
2011,January,329278.0,2011-01,02
2010,December,331980.0,2010-12,02
2010,November,332972.0,2010-11,02
2010,October,334693.0,2010-10,02
2010,September,337676.0,2010-09,02
2010,August,342908.0,2010-08,02
2010,July,346189.0,2010-07,02
2010,June,339709.0,2010-06,02
2010,May,333227.0,2010-05,02
2010,April,327165.0,2010-04,02
2010,March,325535.0,2010-03,02
2010,February,324429.0,2010-02,02
2010,January,324513.0,2010-01,02
2009,December,327488.0,2009-12,02
2009,November,329248.0,2009-11,02
2009,October,331145.0,2009-10,02
2009,September,334458.0,2009-09,02
2009,August,340869.0,2009-08,02
2009,July,344644.0,2009-07,02
2009,June,338301.0,2009-06,02
2009,May,332592.0,2009-05,02
2009,April,326884.0,2009-04,02
2009,March,325752.0,2009-03,02
2009,February,325120.0,2009-02,02
2009,January,325006.0,2009-01,02
2008,December,328635.0,2008-12,02
2008,November,329999.0,2008-11,02
2008,October,332386.0,2008-10,02
2008,September,335832.0,2008-09,02
2008,August,341996.0,2008-08,02
2008,July,345674.0,2008-07,02
2008,June,339615.0,2008-06,02
2008,May,333900.0,2008-05,02
2008,April,326620.0,2008-04,02
2008,March,325322.0,2008-03,02
2008,February,323934.0,2008-02,02
2008,January,323512.0,2008-01,02
2007,December,325873.0,2007-12,02
2007,November,327362.0,2007-11,02
2007,October,329290.0,2007-10,02
2007,September,332078.0,2007-09,02
2007,August,337559.0,2007-08,02
2007,July,340854.0,2007-07,02
2007,June,335095.0,2007-06,02
2007,May,329103.0,2007-05,02
2007,April,322546.0,2007-04,02
2007,March,321884.0,2007-03,02
2007,February,320855.0,2007-02,02
2007,January,320450.0,2007-01,02
2006,December,323949.0,2006-12,02
2006,November,325226.0,2006-11,02
2006,October,327086.0,2006-10,02
2006,September,330615.0,2006-09,02
2006,August,336477.0,2006-08,02
2006,July,339922.0,2006-07,02
2006,June,334881.0,2006-06,02
2006,May,327532.0,2006-05,02
2006,April,320513.0,2006-04,02
2006,March,319103.0,2006-03,02
2006,February,317107.0,2006-02,02
2006,January,316098.0,2006-01,02
2005,December,318779.0,2005-12,02
2005,November,320198.0,2005-11,02
2005,October,322314.0,2005-10,02
2005,September,325126.0,2005-09,02
2005,August,331088.0,2005-08,02
2005,July,334203.0,2005-07,02
2005,June,327247.0,2005-06,02
2005,May,321585.0,2005-05,02
2005,April,314727.0,2005-04,02
2005,March,312889.0,2005-03,02
2005,February,311204.0,2005-02,02
2005,January,310375.0,2005-01,02
2004,December,312738.0,2004-12,02
2004,November,312972.0,2004-11,02
2004,October,314684.0,2004-10,02
2004,September,316675.0,2004-09,02
2004,August,321354.0,2004-08,02
2004,July,324397.0,2004-07,02
2004,June,317153.0,2004-06,02
2004,May,310524.0,2004-05,02
2004,April,304144.0,2004-04,02
2004,March,302711.0,2004-03,02
2004,February,301187.0,2004-02,02
2004,January,301172.0,2004-01,02
2003,December,303587.0,2003-12,02
2003,November,304377.0,2003-11,02
2003,October,306291.0,2003-10,02
2003,September,308852.0,2003-09,02
2003,August,314185.0,2003-08,02
2003,July,317359.0,2003-07,02
2003,June,311940.0,2003-06,02
2003,May,306425.0,2003-05,02
2003,April,299801.0,2003-04,02
2003,March,299400.0,2003-03,02
2003,February,298536.0,2003-02,02
2003,January,297921.0,2003-01,02
2002,December,300809.0,2002-12,02
2002,November,301592.0,2002-11,02
2002,October,303921.0,2002-10,02
2002,September,306329.0,2002-09,02
2002,August,311315.0,2002-08,02
2002,July,314215.0,2002-07,02
2002,June,308115.0,2002-06,02
2002,May,302433.0,2002-05,02
2002,April,296399.0,2002-04,02
2002,March,296146.0,2002-03,02
2002,February,295535.0,2002-02,02
2002,January,294149.0,2002-01,02
2019,December,3459557.0,2019-12,04
2019,November,3460614.0,2019-11,04
2019,October,3439957.0,2019-10,04
2019,September,3426036.0,2019-09,04
2019,August,3377650.0,2019-08,04
2019,July,3369308.0,2019-07,04
2019,June,3363543.0,2019-06,04
2019,May,3353242.0,2019-05,04
2019,April,3347524.0,2019-04,04
2019,March,3355134.0,2019-03,04
2019,February,3345482.0,2019-02,04
2019,January,3316000.0,2019-01,04
2018,December,3317949.0,2018-12,04
2018,November,3325259.0,2018-11,04
2018,October,3302824.0,2018-10,04
2018,September,3288369.0,2018-09,04
2018,August,3239314.0,2018-08,04
2018,July,3252971.0,2018-07,04
2018,June,3244603.0,2018-06,04
2018,May,3249215.0,2018-05,04
2018,April,3239455.0,2018-04,04
2018,March,3242776.0,2018-03,04
2018,February,3230474.0,2018-02,04
2018,January,3193011.0,2018-01,04
2017,December,3196170.0,2017-12,04
2017,November,3206360.0,2017-11,04
2017,October,3186075.0,2017-10,04
2017,September,3195896.0,2017-09,04
2017,August,3149257.0,2017-08,04
2017,July,3150530.0,2017-07,04
2017,June,3150652.0,2017-06,04
2017,May,3147390.0,2017-05,04
2017,April,3153396.0,2017-04,04
2017,March,3150844.0,2017-03,04
2017,February,3129513.0,2017-02,04
2017,January,3106896.0,2017-01,04
2016,December,3103383.0,2016-12,04
2016,November,3112820.0,2016-11,04
2016,October,3092225.0,2016-10,04
2016,September,3081012.0,2016-09,04
2016,August,3053213.0,2016-08,04
2016,July,3046464.0,2016-07,04
2016,June,3050150.0,2016-06,04
2016,May,3057018.0,2016-05,04
2016,April,3048569.0,2016-04,04
2016,March,3056657.0,2016-03,04
2016,February,3039249.0,2016-02,04
2016,January,3015439.0,2016-01,04
2015,December,3010313.0,2015-12,04
2015,November,3009438.0,2015-11,04
2015,October,2991282.0,2015-10,04
2015,September,2978603.0,2015-09,04
2015,August,2963271.0,2015-08,04
2015,July,2954690.0,2015-07,04
2015,June,2966977.0,2015-06,04
2015,May,2976874.0,2015-05,04
2015,April,2967390.0,2015-04,04
2015,March,2960517.0,2015-03,04
2015,February,2948574.0,2015-02,04
2015,January,2936244.0,2015-01,04
2014,December,2939534.0,2014-12,04
2014,November,2948108.0,2014-11,04
2014,October,2932256.0,2014-10,04
2014,September,2909143.0,2014-09,04
2014,August,2876784.0,2014-08,04
2014,July,2873784.0,2014-07,04
2014,June,2880711.0,2014-06,04
2014,May,2877110.0,2014-05,04
2014,April,2873676.0,2014-04,04
2014,March,2875160.0,2014-03,04
2014,February,2851773.0,2014-02,04
2014,January,2834526.0,2014-01,04
2013,December,2825602.0,2013-12,04
2013,November,2824528.0,2013-11,04
2013,October,2793111.0,2013-10,04
2013,September,2807456.0,2013-09,04
2013,August,2782218.0,2013-08,04
2013,July,2782419.0,2013-07,04
2013,June,2792047.0,2013-06,04
2013,May,2796852.0,2013-05,04
2013,April,2792556.0,2013-04,04
2013,March,2784452.0,2013-03,04
2013,February,2784722.0,2013-02,04
2013,January,2770401.0,2013-01,04
2012,December,2792963.0,2012-12,04
2012,November,2796543.0,2012-11,04
2012,October,2802293.0,2012-10,04
2012,September,2794236.0,2012-09,04
2012,August,2760976.0,2012-08,04
2012,July,2760372.0,2012-07,04
2012,June,2773931.0,2012-06,04
2012,May,2774610.0,2012-05,04
2012,April,2775048.0,2012-04,04
2012,March,2773382.0,2012-03,04
2012,February,2765636.0,2012-02,04
2012,January,2746202.0,2012-01,04
2011,December,2767372.0,2011-12,04
2011,November,2771520.0,2011-11,04
2011,October,2761627.0,2011-10,04
2011,September,2749981.0,2011-09,04
2011,August,2730578.0,2011-08,04
2011,July,2721077.0,2011-07,04
2011,June,2735012.0,2011-06,04
2011,May,2749559.0,2011-05,04
2011,April,2755651.0,2011-04,04
2011,March,2755519.0,2011-03,04
2011,February,2747262.0,2011-02,04
2011,January,2736477.0,2011-01,04
2010,December,2758177.0,2010-12,04
2010,November,2762786.0,2010-11,04
2010,October,2765261.0,2010-10,04
2010,September,2769823.0,2010-09,04
2010,August,2757981.0,2010-08,04
2010,July,2756102.0,2010-07,04
2010,June,2772243.0,2010-06,04
2010,May,2780676.0,2010-05,04
2010,April,2798099.0,2010-04,04
2010,March,2774614.0,2010-03,04
2010,February,2774348.0,2010-02,04
2010,January,2763335.0,2010-01,04
2009,December,2771215.0,2009-12,04
2009,November,2796062.0,2009-11,04
2009,October,2787217.0,2009-10,04
2009,September,2793248.0,2009-09,04
2009,August,2803128.0,2009-08,04
2009,July,2817280.0,2009-07,04
2009,June,2825981.0,2009-06,04
2009,May,2828954.0,2009-05,04
2009,April,2847499.0,2009-04,04
2009,March,2838171.0,2009-03,04
2009,February,2850786.0,2009-02,04
2009,January,2851388.0,2009-01,04
2008,December,2891026.0,2008-12,04
2008,November,2909898.0,2008-11,04
2008,October,2919164.0,2008-10,04
2008,September,2911623.0,2008-09,04
2008,August,2901941.0,2008-08,04
2008,July,2911106.0,2008-07,04
2008,June,2922000.0,2008-06,04
2008,May,2915179.0,2008-05,04
2008,April,2927601.0,2008-04,04
2008,March,2920500.0,2008-03,04
2008,February,2918561.0,2008-02,04
2008,January,2918237.0,2008-01,04
2007,December,2928811.0,2007-12,04
2007,November,2943481.0,2007-11,04
2007,October,2931187.0,2007-10,04
2007,September,2929813.0,2007-09,04
2007,August,2905900.0,2007-08,04
2007,July,2916634.0,2007-07,04
2007,June,2918505.0,2007-06,04
2007,May,2905154.0,2007-05,04
2007,April,2903843.0,2007-04,04
2007,March,2914052.0,2007-03,04
2007,February,2907332.0,2007-02,04
2007,January,2900697.0,2007-01,04
2006,December,2932134.0,2006-12,04
2006,November,2924084.0,2006-11,04
2006,October,2919301.0,2006-10,04
2006,September,2889398.0,2006-09,04
2006,August,2872643.0,2006-08,04
2006,July,2859746.0,2006-07,04
2006,June,2857877.0,2006-06,04
2006,May,2842521.0,2006-05,04
2006,April,2835831.0,2006-04,04
2006,March,2826930.0,2006-03,04
2006,February,2815585.0,2006-02,04
2006,January,2796570.0,2006-01,04
2005,December,2808118.0,2005-12,04
2005,November,2799267.0,2005-11,04
2005,October,2794213.0,2005-10,04
2005,September,2772904.0,2005-09,04
2005,August,2764240.0,2005-08,04
2005,July,2753108.0,2005-07,04
2005,June,2747345.0,2005-06,04
2005,May,2734086.0,2005-05,04
2005,April,2724613.0,2005-04,04
2005,March,2702663.0,2005-03,04
2005,February,2696523.0,2005-02,04
2005,January,2683378.0,2005-01,04
2004,December,2701847.0,2004-12,04
2004,November,2702135.0,2004-11,04
2004,October,2688693.0,2004-10,04
2004,September,2671378.0,2004-09,04
2004,August,2660603.0,2004-08,04
2004,July,2656076.0,2004-07,04
2004,June,2648461.0,2004-06,04
2004,May,2634856.0,2004-05,04
2004,April,2630899.0,2004-04,04
2004,March,2626678.0,2004-03,04
2004,February,2628984.0,2004-02,04
2004,January,2614525.0,2004-01,04
2003,December,2627323.0,2003-12,04
2003,November,2624589.0,2003-11,04
2003,October,2608972.0,2003-10,04
2003,September,2590628.0,2003-09,04
2003,August,2573338.0,2003-08,04
2003,July,2568060.0,2003-07,04
2003,June,2577974.0,2003-06,04
2003,May,2565158.0,2003-05,04
2003,April,2567218.0,2003-04,04
2003,March,2556265.0,2003-03,04
2003,February,2551711.0,2003-02,04
2003,January,2535011.0,2003-01,04
2002,December,2548049.0,2002-12,04
2002,November,2545097.0,2002-11,04
2002,October,2547617.0,2002-10,04
2002,September,2542802.0,2002-09,04
2002,August,2517556.0,2002-08,04
2002,July,2508385.0,2002-07,04
2002,June,2512787.0,2002-06,04
2002,May,2505969.0,2002-05,04
2002,April,2500877.0,2002-04,04
2002,March,2499367.0,2002-03,04
2002,February,2497626.0,2002-02,04
2002,January,2465945.0,2002-01,04
2019,December,1310216.0,2019-12,05
2019,November,1320158.0,2019-11,05
2019,October,1324968.0,2019-10,05
2019,September,1319239.0,2019-09,05
2019,August,1314696.0,2019-08,05
2019,July,1322546.0,2019-07,05
2019,June,1324372.0,2019-06,05
2019,May,1317972.0,2019-05,05
2019,April,1318262.0,2019-04,05
2019,March,1311196.0,2019-03,05
2019,February,1301762.0,2019-02,05
2019,January,1286090.0,2019-01,05
2018,December,1303442.0,2018-12,05
2018,November,1314147.0,2018-11,05
2018,October,1315320.0,2018-10,05
2018,September,1311030.0,2018-09,05
2018,August,1305720.0,2018-08,05
2018,July,1315775.0,2018-07,05
2018,June,1315220.0,2018-06,05
2018,May,1308258.0,2018-05,05
2018,April,1305100.0,2018-04,05
2018,March,1298026.0,2018-03,05
2018,February,1286683.0,2018-02,05
2018,January,1269221.0,2018-01,05
2017,December,1290274.0,2017-12,05
2017,November,1302412.0,2017-11,05
2017,October,1305781.0,2017-10,05
2017,September,1307083.0,2017-09,05
2017,August,1300096.0,2017-08,05
2017,July,1309234.0,2017-07,05
2017,June,1312735.0,2017-06,05
2017,May,1302873.0,2017-05,05
2017,April,1302644.0,2017-04,05
2017,March,1292814.0,2017-03,05
2017,February,1278693.0,2017-02,05
2017,January,1261936.0,2017-01,05
2016,December,1280847.0,2016-12,05
2016,November,1292371.0,2016-11,05
2016,October,1295829.0,2016-10,05
2016,September,1295413.0,2016-09,05
2016,August,1291038.0,2016-08,05
2016,July,1298555.0,2016-07,05
2016,June,1299527.0,2016-06,05
2016,May,1291559.0,2016-05,05
2016,April,1289947.0,2016-04,05
2016,March,1281897.0,2016-03,05
2016,February,1268277.0,2016-02,05
2016,January,1251769.0,2016-01,05
2015,December,1272147.0,2015-12,05
2015,November,1278472.0,2015-11,05
2015,October,1279314.0,2015-10,05
2015,September,1275748.0,2015-09,05
2015,August,1272093.0,2015-08,05
2015,July,1276350.0,2015-07,05
2015,June,1277707.0,2015-06,05
2015,May,1268842.0,2015-05,05
2015,April,1261605.0,2015-04,05
2015,March,1247823.0,2015-03,05
2015,February,1239136.0,2015-02,05
2015,January,1224228.0,2015-01,05
2014,December,1243321.0,2014-12,05
2014,November,1250784.0,2014-11,05
2014,October,1252760.0,2014-10,05
2014,September,1246338.0,2014-09,05
2014,August,1242254.0,2014-08,05
2014,July,1247529.0,2014-07,05
2014,June,1250872.0,2014-06,05
2014,May,1240985.0,2014-05,05
2014,April,1236360.0,2014-04,05
2014,March,1225902.0,2014-03,05
2014,February,1212235.0,2014-02,05
2014,January,1197637.0,2014-01,05
2013,December,1214634.0,2013-12,05
2013,November,1227818.0,2013-11,05
2013,October,1229389.0,2013-10,05
2013,September,1231044.0,2013-09,05
2013,August,1228696.0,2013-08,05
2013,July,1237779.0,2013-07,05
2013,June,1242019.0,2013-06,05
2013,May,1235061.0,2013-05,05
2013,April,1233750.0,2013-04,05
2013,March,1224501.0,2013-03,05
2013,February,1215461.0,2013-02,05
2013,January,1202152.0,2013-01,05
2012,December,1213884.0,2012-12,05
2012,November,1225401.0,2012-11,05
2012,October,1235897.0,2012-10,05
2012,September,1237440.0,2012-09,05
2012,August,1239881.0,2012-08,05
2012,July,1250990.0,2012-07,05
2012,June,1262827.0,2012-06,05
2012,May,1254469.0,2012-05,05
2012,April,1254426.0,2012-04,05
2012,March,1251591.0,2012-03,05
2012,February,1239891.0,2012-02,05
2012,January,1226827.0,2012-01,05
2011,December,1251307.0,2011-12,05
2011,November,1261326.0,2011-11,05
2011,October,1264352.0,2011-10,05
2011,September,1255688.0,2011-09,05
2011,August,1254789.0,2011-08,05
2011,July,1259711.0,2011-07,05
2011,June,1257938.0,2011-06,05
2011,May,1249961.0,2011-05,05
2011,April,1254405.0,2011-04,05
2011,March,1241090.0,2011-03,05
2011,February,1226898.0,2011-02,05
2011,January,1216698.0,2011-01,05
2010,December,1240454.0,2010-12,05
2010,November,1247927.0,2010-11,05
2010,October,1252738.0,2010-10,05
2010,September,1250253.0,2010-09,05
2010,August,1252702.0,2010-08,05
2010,July,1260320.0,2010-07,05
2010,June,1265857.0,2010-06,05
2010,May,1250681.0,2010-05,05
2010,April,1244571.0,2010-04,05
2010,March,1227606.0,2010-03,05
2010,February,1213551.0,2010-02,05
2010,January,1203292.0,2010-01,05
2009,December,1227866.0,2009-12,05
2009,November,1244201.0,2009-11,05
2009,October,1248424.0,2009-10,05
2009,September,1249085.0,2009-09,05
2009,August,1255134.0,2009-08,05
2009,July,1267803.0,2009-07,05
2009,June,1268976.0,2009-06,05
2009,May,1258389.0,2009-05,05
2009,April,1262831.0,2009-04,05
2009,March,1254283.0,2009-03,05
2009,February,1250596.0,2009-02,05
2009,January,1241203.0,2009-01,05
2008,December,1272911.0,2008-12,05
2008,November,1290303.0,2008-11,05
2008,October,1304102.0,2008-10,05
2008,September,1305528.0,2008-09,05
2008,August,1307826.0,2008-08,05
2008,July,1317726.0,2008-07,05
2008,June,1322645.0,2008-06,05
2008,May,1310399.0,2008-05,05
